geography code,total,M 0_15 1PE,M 0_15 1PA,M 0_15 1FE,M 0_15 1FM-0C,M 0_15 1FM-nC,M 0_15 1FM-nA,M 0_15 1FC-0C,M 0_15 1FC-nC,M 0_15 1FC-nA,M 0_15 1FL-nC,M 0_15 1FL-nA,M 0_15 1H-nC,M 0_15 1H-nS,M 0_15 1H-nE,M 0_15 1H-nA,M 16_24 1PE,M 16_24 1PA,M 16_24 1FE,M 16_24 1FM-0C,M 16_24 1FM-nC,M 16_24 1FM-nA,M 16_24 1FC-0C,M 16_24 1FC-nC,M 16_24 1FC-nA,M 16_24 1FL-nC,M 16_24 1FL-nA,M 16_24 1H-nC,M 16_24 1H-nS,M 16_24 1H-nE,M 16_24 1H-nA,M 25_34 1PE,M 25_34 1PA,M 25_34 1FE,M 25_34 1FM-0C,M 25_34 1FM-nC,M 25_34 1FM-nA,M 25_34 1FC-0C,M 25_34 1FC-nC,M 25_34 1FC-nA,M 25_34 1FL-nC,M 25_34 1FL-nA,M 25_34 1H-nC,M 25_34 1H-nS,M 25_34 1H-nE,M 25_34 1H-nA,M 35_49 1PE,M 35_49 1PA,M 35_49 1FE,M 35_49 1FM-0C,M 35_49 1FM-nC,M 35_49 1FM-nA,M 35_49 1FC-0C,M 35_49 1FC-nC,M 35_49 1FC-nA,M 35_49 1FL-nC,M 35_49 1FL-nA,M 35_49 1H-nC,M 35_49 1H-nS,M 35_49 1H-nE,M 35_49 1H-nA,M 50+ 1PE,M 50+ 1PA,M 50+ 1FE,M 50+ 1FM-0C,M 50+ 1FM-nC,M 50+ 1FM-nA,M 50+ 1FC-0C,M 50+ 1FC-nC,M 50+ 1FC-nA,M 50+ 1FL-nC,M 50+ 1FL-nA,M 50+ 1H-nC,M 50+ 1H-nS,M 50+ 1H-nE,M 50+ 1H-nA,F 0_15 1PE,F 0_15 1PA,F 0_15 1FE,F 0_15 1FM-0C,F 0_15 1FM-nC,F 0_15 1FM-nA,F 0_15 1FC-0C,F 0_15 1FC-nC,F 0_15 1FC-nA,F 0_15 1FL-nC,F 0_15 1FL-nA,F 0_15 1H-nC,F 0_15 1H-nS,F 0_15 1H-nE,F 0_15 1H-nA,F 16_24 1PE,F 16_24 1PA,F 16_24 1FE,F 16_24 1FM-0C,F 16_24 1FM-nC,F 16_24 1FM-nA,F 16_24 1FC-0C,F 16_24 1FC-nC,F 16_24 1FC-nA,F 16_24 1FL-nC,F 16_24 1FL-nA,F 16_24 1H-nC,F 16_24 1H-nS,F 16_24 1H-nE,F 16_24 1H-nA,F 25_34 1PE,F 25_34 1PA,F 25_34 1FE,F 25_34 1FM-0C,F 25_34 1FM-nC,F 25_34 1FM-nA,F 25_34 1FC-0C,F 25_34 1FC-nC,F 25_34 1FC-nA,F 25_34 1FL-nC,F 25_34 1FL-nA,F 25_34 1H-nC,F 25_34 1H-nS,F 25_34 1H-nE,F 25_34 1H-nA,F 35_49 1PE,F 35_49 1PA,F 35_49 1FE,F 35_49 1FM-0C,F 35_49 1FM-nC,F 35_49 1FM-nA,F 35_49 1FC-0C,F 35_49 1FC-nC,F 35_49 1FC-nA,F 35_49 1FL-nC,F 35_49 1FL-nA,F 35_49 1H-nC,F 35_49 1H-nS,F 35_49 1H-nE,F 35_49 1H-nA,F 50+ 1PE,F 50+ 1PA,F 50+ 1FE,F 50+ 1FM-0C,F 50+ 1FM-nC,F 50+ 1FM-nA,F 50+ 1FC-0C,F 50+ 1FC-nC,F 50+ 1FC-nA,F 50+ 1FL-nC,F 50+ 1FL-nA,F 50+ 1H-nC,F 50+ 1H-nS,F 50+ 1H-nE,F 50+ 1H-nA
E02005950,10596,0,0,0,0,203,0,1,57,0,87,0,73,0,0,0,0,55,0,8,54,33,35,12,2,35,31,43,1292,0,372,0,192,0,83,47,38,182,22,2,6,26,38,142,0,535,0,214,0,57,147,19,68,48,1,7,17,36,1,0,133,98,162,74,128,75,85,36,13,7,4,21,35,1,8,83,0,0,0,0,219,0,0,76,0,111,0,70,0,0,0,0,47,0,7,50,21,50,17,3,42,20,58,1377,0,421,0,126,0,94,73,28,169,23,0,34,14,43,87,0,442,0,118,0,47,152,20,49,58,1,61,11,48,2,0,83,190,144,84,118,46,79,28,4,8,23,73,35,2,12,94
E02005951,5912,0,0,0,0,313,0,1,51,0,89,0,36,0,0,0,0,18,0,1,46,18,23,12,4,24,26,16,106,0,104,0,104,0,61,60,28,112,17,1,3,20,33,62,0,294,0,122,0,69,222,16,42,34,1,8,14,21,2,0,76,98,102,118,105,52,52,15,6,5,6,16,15,0,4,62,0,0,0,0,267,0,0,41,0,71,0,41,0,0,0,0,25,0,4,34,13,27,10,1,26,17,22,103,0,119,0,62,0,77,89,8,106,12,1,22,9,33,54,0,276,0,89,0,44,223,15,23,41,2,65,21,21,1,0,56,188,129,110,101,25,49,13,0,4,14,49,22,0,8,63
E02005952,13772,0,0,0,0,584,0,0,157,0,293,0,227,0,0,0,0,39,0,5,150,68,33,25,5,68,34,92,231,0,312,0,224,0,130,177,79,196,83,5,11,39,147,38,0,725,0,254,0,116,389,56,87,72,3,18,28,115,1,0,256,124,153,215,220,116,183,49,22,6,6,54,86,0,17,125,0,0,0,0,593,0,0,147,0,291,0,214,0,0,0,0,41,0,16,164,67,54,38,9,127,22,111,178,0,287,0,149,0,157,227,40,186,78,0,136,15,169,29,0,610,0,155,0,89,374,52,58,77,9,132,29,117,1,0,113,262,140,215,199,58,167,37,10,2,31,110,90,0,10,132
E02005953,5649,0,0,0,0,249,0,0,63,0,81,0,77,0,0,0,0,8,0,0,50,21,4,14,6,27,21,28,232,0,111,0,65,0,42,54,21,78,14,0,5,18,49,37,0,281,0,78,0,50,168,11,43,48,0,7,23,30,1,0,102,80,85,46,102,76,57,18,15,8,3,19,36,0,10,62,0,0,0,0,231,0,0,52,0,91,0,76,0,0,0,0,9,0,2,65,17,11,12,3,38,9,36,202,0,159,0,53,0,46,81,17,82,16,0,31,9,37,32,0,220,0,77,0,40,179,13,32,49,1,59,12,41,0,0,56,90,102,46,100,35,53,16,9,5,12,50,42,0,15,44
E02005954,9530,0,0,0,0,464,0,0,104,0,168,0,166,0,0,0,0,18,0,1,108,88,15,22,3,33,29,75,17,0,127,0,91,0,48,98,74,96,41,4,4,27,94,9,0,413,0,127,0,73,338,45,70,60,2,19,14,90,1,0,173,155,131,230,218,111,179,43,17,7,5,37,45,3,15,115,0,1,0,0,447,0,0,102,0,200,0,156,0,0,0,0,8,0,9,100,40,25,20,1,61,19,57,31,0,111,0,50,0,57,159,29,100,48,7,72,16,132,5,0,280,0,113,0,73,323,53,53,62,4,96,14,75,4,0,94,368,117,228,205,63,159,38,10,7,16,77,53,1,15,106
E02005955,9700,0,0,0,0,479,0,0,116,0,391,0,146,0,0,0,0,17,0,4,116,66,18,40,10,53,32,43,10,0,81,0,133,0,68,119,56,108,46,2,9,35,85,1,0,207,0,158,0,70,331,69,77,66,12,19,38,74,0,0,123,129,138,207,210,82,188,36,16,8,5,46,39,1,12,115,0,0,0,0,460,0,1,122,0,363,0,123,0,0,0,0,22,0,5,103,58,31,43,7,101,27,74,8,0,74,0,87,0,80,182,38,121,54,0,181,18,103,0,0,142,0,114,0,68,295,60,41,60,13,156,35,68,0,0,94,260,124,213,191,36,163,29,4,6,24,110,51,0,9,88
E02005956,6085,0,0,0,0,232,0,0,128,0,265,0,97,0,0,0,0,10,0,2,107,54,2,31,11,68,30,35,10,0,47,0,29,0,9,61,44,21,34,5,9,26,47,3,0,95,0,119,0,24,181,65,13,68,12,21,35,63,0,0,66,81,99,141,115,58,117,23,14,14,11,25,17,0,6,60,0,0,0,0,229,0,0,94,0,322,0,91,0,0,0,0,15,0,3,65,37,7,33,5,107,29,46,6,0,36,0,36,0,10,92,18,22,48,4,119,10,56,1,0,49,0,55,0,25,170,54,14,60,10,152,38,64,0,0,36,161,96,139,110,32,102,16,5,11,20,82,26,0,4,53
E02005957,6882,0,0,0,0,391,0,0,164,0,393,0,99,0,0,0,0,8,0,3,65,37,9,42,12,59,39,48,5,0,26,0,58,0,32,124,33,45,85,4,16,16,48,1,0,64,0,141,0,53,245,42,30,77,12,15,19,50,0,0,55,72,97,79,74,40,73,19,10,11,6,24,16,0,13,36,0,0,0,0,332,0,0,169,0,435,0,88,0,0,0,0,32,0,8,83,34,11,41,9,153,26,33,1,0,29,0,45,0,40,177,7,55,87,2,167,11,50,0,0,46,0,116,0,49,199,39,16,69,9,214,33,68,0,0,30,127,102,81,67,20,65,25,7,8,21,58,21,0,7,25
E02005958,5675,0,0,0,0,411,0,0,81,0,70,0,34,0,0,0,0,1,0,2,98,58,10,10,11,29,43,10,0,0,22,0,37,0,37,62,55,77,30,0,1,15,6,0,0,45,0,57,0,54,338,38,31,50,7,5,6,18,0,0,20,66,83,161,214,94,145,35,6,10,3,17,19,0,2,31,0,0,0,0,363,0,0,67,0,77,0,30,0,0,0,0,1,0,6,86,62,22,13,5,39,21,23,0,0,15,0,23,0,49,98,29,78,33,1,21,8,11,0,0,29,0,59,0,46,345,43,24,52,7,63,20,32,0,0,17,185,76,165,208,49,132,33,3,8,19,51,25,0,3,35
E02005959,5428,0,0,0,0,306,0,0,49,0,44,0,34,0,0,0,0,0,0,0,109,76,5,8,4,18,24,8,6,0,17,0,10,0,24,35,58,31,13,2,2,16,7,0,0,39,0,43,0,46,256,45,39,48,4,8,14,20,0,0,39,76,78,255,281,130,158,48,8,10,5,20,21,0,11,66,0,0,0,0,333,0,0,52,0,55,0,28,0,0,0,0,1,0,1,89,49,12,7,3,25,16,15,3,0,23,0,4,0,28,52,25,37,22,4,8,4,13,2,0,20,0,33,0,61,285,46,25,41,4,47,13,20,0,0,34,189,85,255,259,82,142,37,5,11,6,46,28,0,4,65
E02005960,5836,0,0,0,0,402,0,0,77,0,64,0,33,0,0,0,0,8,0,1,98,41,6,10,9,26,16,27,2,0,24,0,30,0,28,53,41,47,21,3,0,10,9,0,0,30,0,65,0,55,331,34,43,46,6,8,12,26,0,0,24,89,48,267,266,94,126,30,9,9,5,28,20,0,12,47,0,0,0,0,414,0,0,63,0,75,0,35,0,0,0,0,2,0,1,69,40,9,9,10,28,17,21,0,0,18,0,20,0,41,78,26,61,27,3,17,7,11,0,0,24,0,56,0,49,338,27,36,42,9,64,20,33,0,0,21,280,57,271,257,64,113,24,2,7,10,44,19,0,10,41
E02005961,6593,0,0,0,0,373,0,0,58,0,61,0,47,0,0,0,0,3,0,2,110,90,8,5,9,22,27,12,0,0,32,0,27,0,35,62,42,74,20,1,3,13,18,2,0,51,0,54,0,67,324,43,59,50,6,8,13,27,0,0,17,101,88,339,324,129,170,43,12,7,2,34,28,0,7,51,0,0,0,0,417,0,0,63,0,73,0,32,0,0,0,0,1,0,4,98,53,20,11,8,28,18,17,0,0,30,0,22,0,42,77,30,71,23,2,16,4,13,2,0,24,0,63,0,71,358,41,47,48,8,58,10,40,0,0,22,235,80,340,307,73,152,48,7,7,13,59,30,0,17,50
E02005962,8264,0,0,0,0,524,0,0,95,0,87,0,28,0,0,0,0,4,0,0,127,101,4,17,13,38,33,9,0,0,27,0,12,0,32,56,124,29,25,2,0,21,5,0,0,37,0,75,0,89,465,57,51,74,7,10,21,31,0,0,30,102,86,362,486,150,281,47,9,13,14,33,21,0,12,67,0,0,0,0,553,0,0,77,0,102,0,41,0,0,0,0,1,0,0,133,79,7,19,8,50,20,22,0,0,21,0,19,0,46,91,50,39,38,2,14,9,13,0,0,24,0,36,0,98,491,61,51,58,11,86,15,34,0,0,27,244,100,371,461,88,259,40,4,8,22,62,26,0,10,80
E02005963,8013,0,0,0,0,476,0,0,122,0,110,0,76,0,0,0,0,6,0,2,119,94,9,17,9,30,26,32,2,0,32,0,25,0,35,66,77,65,48,7,2,17,18,0,0,48,0,98,0,83,368,58,49,68,6,9,16,58,0,0,44,123,117,312,360,131,209,64,15,19,6,45,32,0,16,79,0,0,0,0,510,0,0,124,0,109,0,59,0,0,0,0,6,0,3,113,66,11,33,9,26,25,26,0,0,27,0,27,0,42,102,32,69,50,3,37,5,25,0,0,40,0,73,0,93,392,54,37,70,9,69,19,63,0,0,35,231,120,314,344,72,187,58,8,18,16,53,45,0,24,75
E02005964,7255,0,0,0,0,514,0,0,79,0,79,0,38,0,0,0,0,3,0,1,133,93,3,12,10,24,27,26,0,0,25,0,13,0,20,47,68,43,22,3,4,15,7,0,0,51,0,51,0,89,425,44,50,52,6,3,21,20,0,0,33,110,92,361,355,142,175,51,12,10,3,30,30,0,6,76,0,0,0,1,486,0,0,59,0,69,0,36,0,0,0,0,3,0,0,95,53,13,16,7,26,22,24,0,0,21,0,8,0,31,69,24,45,25,2,13,11,9,0,0,32,0,40,0,89,460,42,46,54,7,67,20,35,0,0,22,261,103,359,336,85,163,53,4,10,22,66,25,0,9,70
E02005965,5402,0,0,0,0,409,0,0,51,0,48,0,21,0,0,0,0,1,0,1,78,44,4,11,3,16,23,8,0,0,19,0,11,0,27,38,18,35,21,3,0,4,4,0,0,14,0,34,0,62,321,28,41,35,1,4,23,21,0,0,14,84,69,254,303,104,106,40,16,6,5,32,16,0,6,48,0,0,0,0,379,0,0,64,0,47,0,26,0,0,0,0,0,0,1,58,50,9,9,2,22,18,15,0,0,15,0,8,0,38,66,15,42,27,1,12,12,10,0,0,12,0,47,0,75,349,29,35,40,1,45,12,24,0,0,18,218,85,258,279,50,93,32,3,6,12,57,21,0,9,61
E02005966,8039,0,0,0,0,635,0,0,124,0,143,0,42,0,0,0,0,6,0,4,131,57,31,21,4,32,26,11,2,0,51,0,60,0,98,176,27,184,69,5,0,19,20,0,0,112,0,179,0,159,570,23,96,88,6,12,9,28,0,0,49,23,83,70,199,105,86,34,6,10,5,14,14,0,4,32,0,0,0,0,656,0,0,135,0,131,0,38,0,0,0,0,1,0,11,125,33,69,37,8,43,24,14,0,0,39,0,45,0,118,225,15,168,71,3,44,5,24,0,0,57,0,109,0,143,547,41,78,80,8,116,18,29,0,0,30,77,97,72,186,60,67,22,0,8,16,41,15,0,5,41
E02005967,5585,0,0,0,0,344,0,0,87,0,121,0,23,0,0,0,0,8,0,4,64,94,9,23,7,27,18,13,5,0,29,0,25,0,35,77,49,39,41,4,0,18,15,0,0,66,0,62,0,68,275,48,35,38,7,8,12,10,0,0,46,71,76,214,196,60,134,30,10,9,8,21,10,0,7,47,0,0,0,0,337,0,1,86,0,111,0,26,0,0,0,0,4,0,5,83,47,11,25,6,43,13,23,0,0,31,0,14,0,41,102,27,42,52,2,35,7,14,0,0,27,0,38,0,67,267,57,30,33,8,85,18,23,0,0,17,212,70,220,184,37,112,25,4,5,8,41,10,0,6,46
E02005968,6559,0,0,0,0,584,0,0,46,0,57,0,32,0,0,0,0,3,0,14,98,45,2,12,7,15,12,12,0,0,20,0,17,0,114,175,39,32,15,1,1,14,13,0,0,37,0,50,0,101,445,47,30,39,2,4,13,18,0,0,33,76,66,257,262,102,115,34,10,5,3,18,17,0,0,35,0,0,0,0,611,0,0,55,0,45,0,26,0,0,0,0,1,0,27,121,44,7,19,0,12,14,12,0,0,8,0,12,0,111,196,18,37,15,1,14,7,13,0,0,27,0,34,0,105,461,29,28,44,4,40,11,26,0,0,18,172,77,263,250,51,122,38,7,3,6,40,23,0,3,52
E02005969,9021,0,0,0,0,626,0,0,96,0,121,0,44,0,0,0,0,17,0,0,114,87,21,13,7,53,34,22,0,0,40,0,48,0,53,99,48,92,41,4,2,25,21,0,0,67,0,147,0,58,499,60,61,71,8,11,22,34,0,0,55,155,141,369,382,113,171,53,13,10,5,28,19,0,14,50,0,0,0,0,611,0,0,115,0,127,0,47,0,0,0,0,13,0,2,99,66,38,21,10,55,21,22,0,0,52,0,40,0,58,138,31,93,49,2,36,8,17,0,0,49,0,96,0,75,502,55,52,63,9,109,29,35,2,0,36,405,151,379,362,68,158,48,5,9,26,76,23,0,14,70
E02005970,5635,0,0,0,0,282,0,0,89,0,143,0,33,0,0,0,0,20,0,6,92,49,20,25,12,25,35,22,1,0,61,0,79,0,40,77,38,97,47,5,3,13,26,0,0,112,0,172,0,48,239,31,35,55,9,11,15,18,0,0,68,52,102,102,150,60,100,39,7,9,5,27,10,0,1,61,0,0,0,0,310,0,0,100,0,147,0,36,0,0,0,0,14,0,9,69,26,41,35,8,54,16,17,1,0,43,0,55,0,37,117,17,84,51,2,51,8,13,0,0,52,0,88,0,52,228,29,27,41,12,91,18,26,0,0,39,100,71,102,142,25,89,31,5,8,11,53,10,0,2,44
E02005971,5727,0,0,0,0,337,0,0,92,0,93,0,44,0,0,0,0,1,0,2,97,55,7,19,8,28,24,21,0,0,51,0,20,0,18,63,54,35,27,3,1,14,19,0,0,65,0,50,0,43,287,52,38,56,6,4,20,22,0,0,56,96,54,258,202,62,131,22,8,5,4,25,17,0,1,68,0,0,0,0,337,0,2,79,0,91,0,45,0,0,0,0,3,0,1,71,55,14,23,2,45,13,20,0,0,27,0,16,0,25,103,25,45,41,0,22,9,25,0,0,34,0,35,0,49,287,50,31,49,4,72,13,30,0,0,46,275,60,258,188,22,120,24,3,7,7,63,18,0,2,56
E02005972,7896,0,0,0,0,553,0,0,83,0,88,0,30,0,0,0,0,2,0,0,110,93,12,15,11,35,33,13,2,0,22,0,15,0,32,84,63,55,33,4,1,20,18,0,0,47,0,64,0,88,446,53,52,51,6,5,17,27,0,0,22,127,86,406,417,130,181,67,14,11,6,36,33,0,11,69,0,0,0,0,541,0,0,84,0,73,0,38,0,0,0,0,4,0,2,103,61,10,12,2,31,15,19,0,0,19,0,18,0,46,110,31,57,37,2,20,8,16,0,0,20,0,41,0,96,473,48,54,58,8,74,15,31,0,0,27,267,98,402,395,74,176,65,9,8,9,68,37,0,21,64
